angle1-00000050.png: left: y=-3.4930903783223886x+87.95727099371427, right: y=2.679093495536151x+-122.50444016684874, x:22, y:37
angle1-00000100.png: left: y=-3.6753266957062842x+127.0903858120722, right: y=2.7622375787181843x+-178.07239870320612, x:10, y:0
angle1-00000150.png: left: y=-3.547666764225867x+112.93104466061801, right: y=2.6827662861120993x+-139.41217615264407, x:14, y:14
angle1-00000200.png: left: invalid, right: invalid, x: invalud, y: invalid
angle10-00000250.png: left: invalid, right: invalid, x: invalud, y: invalid
angle10-00000300.png: left: invalid, right: invalid, x: invalud, y: invalid
angle10-00000350.png: left: invalid, right: invalid, x: invalud, y: invalid
angle10-00000400.png: left: invalid, right: invalid, x: invalud, y: invalid
angle2-00000450.png: left: invalid, right: invalid, x: invalud, y: invalid
angle2-00000500.png: left: invalid, right: invalid, x: invalud, y: invalid
angle2-00000550.png: left: invalid, right: invalid, x: invalud, y: invalid
angle2-00000600.png: left: y=-2.055239105406432x+124.75951420333448, right: y=1.1995473536601868x+-32.60214056799629, x:42, y:0
angle3-00000650.png: left: invalid, right: invalid, x: invalud, y: invalid
angle3-00000700.png: left: invalid, right: invalid, x: invalud, y: invalid
angle3-00000750.png: left: invalid, right: invalid, x: invalud, y: invalid
angle3-00000800.png: left: y=-2.4065688220864065x+119.15576061465754, right: y=-0.4990338164251212x+132.00483091787444, x:42, y:0
angle4-00000850.png: left: invalid, right: invalid, x: invalud, y: invalid
angle4-00000900.png: left: invalid, right: invalid, x: invalud, y: invalid
angle4-00000950.png: left: invalid, right: invalid, x: invalud, y: invalid
angle5-00001000.png: left: invalid, right: invalid, x: invalud, y: invalid
angle5-00001050.png: left: y=-2.633979476466851x+121.29123130431034, right: y=3.9475174856394553x+-273.78403404863275, x:4, y:4
angle5-00001100.png: left: y=-2.5155006290239013x+83.65094353585437, right: y=3.744178896712512x+-208.2623029920022, x:18, y:41
angle5-00001150.png: left: y=-2.9238915902828952x+92.08343927304743, right: y=4.148404581059712x+-339.6185207527854, x:0, y:0
angle6-00001200.png: left: y=-2.898312169638316x+101.43225498656717, right: y=4.708814833138968x+-406.9021627734392, x:0, y:0
angle6-00001250.png: left: y=-2.384847686360514x+120.1699847512072, right: y=4.332646062298237x+-282.4341084271127, x:5, y:1
angle6-00001300.png: left: invalid, right: invalid, x: invalud, y: invalid
angle6-00001350.png: left: y=-2.5318177014929875x+117.7822864302643, right: y=4.375257469802924x+-327.6677685950413, x:0, y:0
angle7-00001400.png: left: y=-3.523325342496973x+100.25641925457352, right: y=2.678438242949208x+-209.18773949767493, x:0, y:0
angle7-00001450.png: left: y=-2.94267896238307x+97.36200490944074, right: y=3.3105597128664828x+-176.94868475848227, x:14, y:26
angle7-00001500.png: left: invalid, right: invalid, x: invalud, y: invalid
angle7-00001550.png: left: y=-3.0570439163010317x+123.96790506442034, right: y=3.2314166173318624x+-200.41508335120506, x:6, y:0
angle7-00001600.png: left: y=1.0611915945015526x+55.02320023708524, right: y=1.8377317188154203x+-114.01236932591789, x:0, y:0
angle8-00001650.png: left: y=-4.0944001016483185x+123.65134048721887, right: y=2.6471799412038455x+-172.748368349962, x:5, y:1
